Date	Open	High	Low	Close	Volume
16-Apr-12	137.83	138.04	136.58	136.93	30917026
13-Apr-12	138.46	138.48	137.01	137.13	35521360
12-Apr-12	137.13	138.9	137.03	138.85	31448270
11-Apr-12	137.33	137.54	136.75	136.9	27795033
10-Apr-12	137.94	138.34	135.77	135.84	46730989
9-Apr-12	137.94	138.78	137.84	138.23	26399657
5-Apr-12	139.4	140.2	139.26	139.78	31771438
4-Apr-12	140.17	140.33	139.35	139.84	28333540
3-Apr-12	141.6	141.87	140.43	141.26	25222416
2-Apr-12	140.64	142.21	140.37	141.79	26897090
30-Mar-12	140.91	141.05	140.06	140.72	25331338
29-Mar-12	139.62	140.42	139.09	140.22	31325903
28-Mar-12	141.09	141.32	139.64	140.43	33007360
27-Mar-12	141.74	141.83	141.08	141.13	23259684
26-Mar-12	140.62	141.61	140.6	141.61	21423562
23-Mar-12	139.37	139.81	138.55	139.69	24302310
22-Mar-12	139.17	139.55	138.74	139.16	24811911
21-Mar-12	140.46	140.65	139.92	140.16	20762910
20-Mar-12	140.05	140.61	139.64	140.41	21356955
19-Mar-12	140.2	141.28	140.11	140.88	21437422
16-Mar-12	140.32	140.48	140.01	140.27	26662498
15-Mar-12	140.12	140.78	139.76	140.72	29861808
14-Mar-12	140.07	140.44	139.48	139.91	25253574
13-Mar-12	138.38	140.12	138.09	140.06	35995873
12-Mar-12	137.56	137.76	137.09	137.58	19686388
9-Mar-12	137.36	137.93	137.13	137.57	23345469
8-Mar-12	136.5	137.32	136.24	137.02	24212228
7-Mar-12	135.06	135.91	134.93	135.69	28884438
6-Mar-12	135.29	135.43	134.36	134.67	38700523
5-Mar-12	137.05	137.19	136.29	136.75	29631897
2-Mar-12	137.63	137.82	137	137.32	18641857
1-Mar-12	137.32	137.99	137.12	137.77	27315142
29-Feb-12	137.73	138.19	136.73	136.87	37831484
28-Feb-12	137.19	137.65	136.93	137.56	27234370
27-Feb-12	136.04	137.53	135.8	137.16	28201726
24-Feb-12	136.95	137.2	136.64	136.93	19761191
23-Feb-12	135.95	136.73	135.5	136.61	28314475
22-Feb-12	136.2	136.55	135.8	136.02	22792730
21-Feb-12	136.75	137.05	136.05	136.46	27823950
17-Feb-12	136.52	136.57	135.97	136.41	24787990
16-Feb-12	134.56	136.17	134.34	136.04	34554564
15-Feb-12	135.64	135.83	134.29	134.54	40981041
14-Feb-12	134.99	135.27	134.26	135.19	34055136
13-Feb-12	135.29	135.52	134.75	135.36	20073035
10-Feb-12	134.14	134.47	133.84	134.43	33937762
9-Feb-12	135.39	135.58	134.57	135.34	26341805
8-Feb-12	134.88	135.22	134.31	135.19	22946408
7-Feb-12	134.2	135.02	133.64	134.79	23369501
6-Feb-12	133.99	134.5	133.83	134.46	18115703
3-Feb-12	134.03	134.62	133.78	134.57	38609038
1-Feb-12	132.31	133.13	132.13	132.47	29482697
31-Jan-12	132.02	132.18	130.68	131.21	31281903
30-Jan-12	130.5	131.44	130.06	131.38	29046766
27-Jan-12	131.15	132.05	131.15	131.73	30387256
26-Jan-12	133.15	133.39	131.37	131.9	33989406
25-Jan-12	131.24	132.87	130.75	132.57	35297847
24-Jan-12	130.77	131.5	130.6	131.46	21699820
23-Jan-12	131.5	132.25	130.98	131.58	26266200
20-Jan-12	131.23	131.95	130.92	131.95	33001013
19-Jan-12	131.24	131.57	130.8	131.48	27306784
18-Jan-12	129.35	130.84	129.08	130.8	33849548
17-Jan-12	130.1	130.32	129.06	129.31	27054142
13-Jan-12	-	-	-	129.01	0
12-Jan-12	129.54	129.7	128.54	129.51	24534387
11-Jan-12	128.75	129.37	128.52	129.25	22722523
10-Jan-12	129.37	129.65	128.95	129.13	22465952
9-Jan-12	128.04	128.18	127.41	127.99	21150934
6-Jan-12	128.22	128.22	127.29	127.82	29421959
5-Jan-12	127.01	128.23	126.43	128.1	36485767
4-Jan-12	127.18	127.81	126.72	127.63	23665645
3-Jan-12	127.75	128.38	127.44	127.49	38379801
30-Dec-11	-	-	-	125.5	0
29-Dec-11	125.21	126.25	125.18	126.1	25251416
28-Dec-11	126.53	126.53	124.73	124.92	30203033
27-Dec-11	126.15	126.82	126.06	126.49	19008321
23-Dec-11	-	-	-	126.39	0
22-Dec-11	124.64	125.39	124.36	125.33	22327643
21-Dec-11	123.94	124.36	122.75	124.17	33792020
20-Dec-11	122.23	124.13	122.19	123.88	35741385
19-Dec-11	122.06	122.32	120.03	120.32	39577182
16-Dec-11	122.21	122.94	121.3	121.57	43484888
15-Dec-11	123.12	123.19	121.99	122.15	34056875
14-Dec-11	122.59	123.03	121.47	121.71	45840916
13-Dec-11	124.9	125.57	122.45	123.11	45766318
12-Dec-11	124.91	124.97	123.18	124.24	40152712
9-Dec-11	124.52	126.37	124.41	126.03	37323724
